row_id,place_id,place_name,city,state,category,latitude,longitude,visit_date,visit_year,visit_month,visit_month_name,day_of_week,is_weekend,season,time_of_day,weather_condition,temperature_c,humidity_percent,rainfall_mm,weather_suitability_score,user_rating,review_text,sentiment_score,sentiment_label,crowd_level,crowd_numeric,entry_free,entry_fee_inr,visit_duration,travel_type,would_revisit,would_recommend,final_recommendation_score
1,PL5358,Indian Museum,Kolkata,West Bengal,Cultural,22.55751,88.347181,2024-07-25,2024,7,July,Thursday,No,Monsoon,Morning,Sunny,27.4,60.0,,0.89,4.0,,,,Low,1.0,No,,Full Day,Group,Yes,Yes,0.9125
2,PL6364,Samanar Hills,Madurai,Tamil Nadu,Natural,9.963703,77.968203,2020-09-13,2020,9,September,Sunday,Yes,Monsoon,Afternoon,Foggy,25.9,77.0,0.8,,4.2,"Good for a one time visit, average experience overall",0.0,Neutral,Medium,2.0,No,30.0,2-4 hours,Business,Yes,Yes,0.5295
3,PL0712,Gandhi Museum,Madurai,Tamil Nadu,Cultural,9.918626,78.11224,2023-05-08,2023,5,May,Monday,No,Spring,Morning,,20.5,62.0,2.4,0.89,4.0,"Mesmerizing beauty, the sunset here was simply divine",1.0,Positive,Medium,,No,150.0,4-6 hours,Solo,Yes,Yes,0.8125
4,PL6821,Taj Mahal,Agra,Uttar Pradesh,Historic,27.172633,78.044633,2019-06-01,2019,6,June,Saturday,Yes,Monsoon,Evening,Light Rain,21.2,65.0,15.8,0.71,4.9,"Mesmerizing beauty, the sunset here was simply divine",,,High,,No,250.0,4-6 hours,Business,Yes,Yes,0.7415
5,PL7835,Hawa Mahal,Jaipur,Rajasthan,Historic,26.925533,75.82884200000001,2020-07-09,2020,7,July,Thursday,No,Monsoon,Morning,Light Rain,31.1,71.0,13.3,0.5,4.5,"Loved the local food stalls nearby, great overall trip",1.0,Positive,Low,1.0,No,30.0,< 1 hour,Family,No,Yes,0.845
6,PL6955,Victoria Memorial,Kolkata,West Bengal,Historic,22.547106,88.342383,2021-08-13,2021,8,August,Friday,No,Monsoon,Morning,,21.4,83.0,25.4,0.5,4.6,"Unforgettable experience, will definitely visit again soon",1.0,Positive,Low,1.0,Yes,0.0,Full Day,Couple,Yes,Yes,0.851
7,PL9900,Ooty Lake,Ooty,Tamil Nadu,Natural,11.410665999999999,76.69163999999999,2019-02-04,2019,2,February,Monday,No,Summer,Morning,Cloudy,33.8,55.0,7.7,0.55,3.3,"Litter everywhere, needs better cleanliness management urgently",-1.0,Negative,Low,1.0,No,40.0,,Family,Yes,No,0.5355
8,PL1888,India Gate,Delhi,Delhi,Monument,28.614239,77.23296,2019-09-03,2019,9,September,Tuesday,No,Monsoon,Afternoon,Foggy,24.7,81.0,2.1,0.15,5.0,"Absolutely breathtaking experience, must visit for everyone",1.0,Positive,High,3.0,No,150.0,4-6 hours,Family,Yes,Yes,0.6075
9,PL2700,Mughal Gardens,Srinagar,Jammu & Kashmir,Natural,34.121399,74.86692000000001,2020-06-12,2020,6,June,Friday,No,Monsoon,Evening,Heavy Rain,28.7,78.0,10.6,0.38,4.7,Very informative guides and well preserved heritage site,0.0,Neutral,Medium,2.0,Yes,0.0,2-4 hours,Solo,Yes,Yes,0.602
10,PL8890,Nahargarh Fort,Jaipur,Rajasthan,Historic,26.947578,75.810858,2023-01-08,2023,1,January,Sunday,Yes,Summer,Morning,Clear,35.9,47.0,1.7,0.76,4.3,Reasonable entry fee for what the place offers visitors,0.0,Neutral,High,3.0,No,40.0,4-6 hours,Group,Yes,Yes,0.593
